quantidade,latitude,longitude,nome
0,14.058324,108.277199,Vietnã
0,-15.376706,166.959158,Vanuatu
0,-13.768752,-177.156097,Ilhas Wallis e Futuna
0,-13.759029,-172.104629,Samoa
0,42.602636,20.902977,Kosovo
0,15.552727,48.516388,Iêmen
0,-12.8275,45.166244,Ilha Mayotte
0,-30.559482,22.937506,África do Sul
0,-13.133897,27.849332,Zâmbia
0,-19.015438,29.154857,Zimbábue
